model,learning_rate,hidden_layers,accuracy,error_count
Neural Network,0.1,500,0.9829,171
Neural Network,0.1,1000,0.9836,164
Neural Network,0.1,1500,0.984,160
Neural Network,0.1,2000,0.9841,159
Neural Network,0.01,500,0.9809,191
Neural Network,0.01,1000,0.9811,189
Neural Network,0.01,1500,0.9812,188
Neural Network,0.01,2000,0.9819,181
Neural Network,0.001,500,0.9536,464
Neural Network,0.001,1000,0.953,470
Neural Network,0.001,1500,0.954,460
Neural Network,0.001,2000,0.9553,447
Neural Network,0.0001,500,0.9021,979
Neural Network,0.0001,1000,0.9075,925
Neural Network,0.0001,1500,0.9065,935
Neural Network,0.0001,2000,0.9088,912
